,season,episode,character,line
63,6,1,Butters Stotch,"Oh, no, I thought you meant you. Eh, you're the fat one."
64,6,1,Eric Cartman,"I can't lose weight, Butters, 'cause I'm not fat. I'm big-boned. You can't slim down bones, stupid!"
65,6,1,Kyle Broflovski,But Butters isn't fat.
66,6,1,Eric Cartman,"That's my whole point. First we fatten him up, then we make the deal with City Wok, then take the weight back off."
67,6,1,Stan Marsh,"He's right. If Butters is naturally skinny, he'll be able to take the weight off faster."
68,6,1,Butters Stotch,"But fellas, if I get fat my parents will ground me."
69,6,1,Eric Cartman,"Oh, come on! Just think about how famous you'll be!"
70,6,1,Butters Stotch,You mean like Jared?
71,6,1,Kyle Broflovski,Yeah dude! You'll be just like Jared!
72,6,1,Butters Stotch,[angrily] Well the heck with that! You said Jared was a penis-butt!
73,6,1,Stan Marsh,"You wouldn't be a penis-butt, Butters, you'd be famous. Just think about all those people following you around, singing songs to you just because you lost some weight... 
His name is Butters, it's Butters. [the boys begin to sway for each line]"
74,6,1,Eric Cartman,He used to be fat but not no more [Butters brightens up]
75,6,1,Kyle Broflovski,City Wok brought him down to a size 4.
76,6,1,Stan Marsh,"Now, he's got lots of moneys and girls"
77,6,1,Eric Cartman,[slowing] and a lifetime of free food at City Wok.
78,6,1,Butters Stotch,[beaming] Wow.
79,6,1,"Jared Vogle, Subway spokesman","Christine, you know I love you very much, and I, I can't wait for the wedding."
80,6,1,"Christine Jonez, Jared's fiancée","I love you too, Jared. You've changed my whole life.
Her name is Jonez, Christine Jonez
She lost forty pounds when she met Jared-"
81,6,1,"Jared Vogle, Subway spokesman","Yeh, I know I know, I know. But uh... some young boys were talkin' to me earlier, and... it made me think that people might not be so proud of my weight loss if they knew something."
82,6,1,"Christine Jonez, Jared's fiancée","Jared, what's this all about?"
83,6,1,"Jared Vogle, Subway spokesman","Uh, Christine, this isn't probably gonna matter to you at all, but... I have aides."
84,6,1,"Christine Jonez, Jared's fiancée",What?!
85,6,1,"Jared Vogle, Subway spokesman","Yeah, I have aides. I've had aides since before we were together. [Christine's jaw drops] What, what are you thinking? Are you bummed?"
86,6,1,"Christine Jonez, Jared's fiancée",Am I bummed?! [moves her chair away from Jared and faces him] You've had AIDS all this time and you knew it?!
