,season,episode,character,line
57,14,2,Randy Marsh,It's... it's awesome. Sharon it's it's the best book I've ever read.
58,14,2,Sharon Marsh,Right? It's not just me.
59,14,2,Randy Marsh,"No, it's... I mean, the whole part about Amsterdam, wow!"
60,14,2,Sharon Marsh,"What do we do, Randy? We can't support our son talking like this, but I, I mean."
61,14,2,Randy Marsh,"NO! I kn... I know! People need to read this book, Sharon, this is... this is Pulitzer prize stuff."
62,14,2,Eric Cartman,"Hehehhh, you're dead, Kenny!"
63,14,2,Stan Marsh,"[runs into the living room in a panic] Guys, guys! We are totally fucked! The book is gone from my dresser drawer. My parents must have found it!"
64,14,2,Eric Cartman,...so why are we all fucked? They'll think you wrote it all.
65,14,2,Stan Marsh,"Hey hey! I'm not taking the heat for this alone! We all wrote it! If I'm going down, somebody has to go down with me!"
66,14,2,Kyle Broflovski,"Well if I'm going down, Cartman's going down!"
67,14,2,Eric Cartman,"And if I'm going down, both Kyle and Kenny are definitely going down!"
68,14,2,Stan Marsh,"Well dude, somebody has got to go down!"
69,14,2,Eric Cartman,"Butters, what are you up to?"
70,14,2,Butters Stotch,Oh hey fellas. I'm just watching the Kardashians
71,14,2,Kim Kardashian,Today my sisters and I are gonna have to wash something. It's gonna blow!
72,14,2,Butters Stotch,Kim Kardashian is sooo sexy. Her butt is like a biiig mountain of pudding.
73,14,2,Stan Marsh,"Butters, listen: you are in big trouble!"
74,14,2,Butters Stotch,I am?
75,14,2,Eric Cartman,"Yeah, you remember that book you wrote? Stan's mom found it."
76,14,2,Butters Stotch,Oh no. Which book was that?
77,14,2,Eric Cartman,"Dude, the book you left with us when you were sleepwalking last night!"
78,14,2,Butters Stotch,I don't even remember that. [gasps] But it all makes sense now. Ever since I read The Catcher In The Rye I've been having these... blackouts. Crazy thoughts of wanting to kill the phonies. I must have channeled all my angst into dark writings in my sleep!
79,14,2,Sharon Marsh,"Alright boys, we need to get to the bottom of this."
80,14,2,Sheila Broflovski,We've all read the book now and it is very shocking to say the least.
81,14,2,Stan Marsh,"Okay, well... a-actually it was all written by... Butters. [Butters walks in hanging his head]"
82,14,2,Eric Cartman,That's right.
83,14,2,Randy Marsh,Butters? Is that true?
84,14,2,Butters Stotch,"Yeah, though I barely remember it, but I know I did."
85,14,2,Gerald Broflovski,"Well Butters, we think... that this is one of the BEST books we've ever read."
86,14,2,Butters Stotch,Huh?
87,14,2,Kyle Broflovski,What? [the other boys can't believe it]
88,14,2,Gerald Broflovski,"Yeah, it's really amazing."
89,14,2,Butters Stotch,"[brightens up] Oh, thanks."
90,14,2,Sheila Broflovski,"We were actually so moved by your book, Butters, that we brought Mr. Needlebaum from Penguin Publishing to read it."
91,14,2,Mr Needlebaum,"Mr. Butters, we would like to offer you a deal for first publishing rights to your brilliant novel."
92,14,2,Stan Marsh,"Hey, wait a minute, that's ours!"
93,14,2,Kyle Broflovski,"Yeah, we wrote that!"
94,14,2,Randy Marsh,"Ohkay boys, you already told the truth."
95,14,2,Kyle Broflovski,"No, no, w-we we really did write it. Tell them, Butters."
96,14,2,Butters Stotch,I wrote that. [the adults begin to murmur amongst themselves]
97,14,2,Stephen Stotch,Really amazing.
98,14,2,Stan Marsh,What? Hey! [Butters is pleased for once]
99,14,2,A News Anchor,"It is being called the most disgusting, foul, sickening book ever written, and it is also being called ""literary genius."" The Tale of Scrotie McBoogerballs hit the shelves this weekend, and so far no one has been able to get through the first paragraph without vomiting."
100,14,2,A News Anchor,The book has already sold millions of copies worldwide aaand has been translated into twenty six languages.
101,14,2,A News Anchor,"The book is changing the literary world. And it is all thanks... to Leopold ""Butters"" Stotch. [a picture of Butters in a pensive pose pops up]"
102,14,2,Clyde,"Hey, here he comes!"
103,14,2,Mr Adler,"Amazing book, Butters. [Mr. Garrison comes out of his classroom]"
104,14,2,Butters Stotch,Thank you! [clasps his hands together and congratulates himself as he walks down the hallway]
105,14,2,Mrs Streibel,"You've changed my life, young man."
106,14,2,Butters Stotch,"That's nice. [waves to everyone and walks on, but runs into Stan and the boys, who are mad at him]"
107,14,2,Eric Cartman,"Butters, what the fuck do you think you're doing?!"
108,14,2,Butters Stotch,"Just enjoying myself. Why, Eric?"
109,14,2,Kyle Broflovski,"Butters, you know goddamned well you didn't write that book!"
110,14,2,Butters Stotch,"But, you told me I did!"
111,14,2,Stan Marsh,"Yeah, but that was when we thought we were gonna get in trouble, asshole! [two girls rush up to Butters' aid]"
112,14,2,Red,"Hey hey, you leave Butters alone! He's a very fragile artist."
113,14,2,Lola,He's so brooding and full of angst.
114,14,2,Butters Stotch,"Yeah, I'm broooding."
115,14,2,Eric Cartman,Butters doesn't deserve any credit for Scrotie McBoogerballs! We deserve all the credit!
116,14,2,Rebecca,"Oh God, you guys are pathetic!"
