,season,episode,character,line
0,1,10,Eric Cartman,"Here you go, Kyle... And here's yours, Stan..."
1,1,10,Kyle Broflovski,"What is this, Cartman?"
2,1,10,Eric Cartman,They're invitations to my birthday party this weekend.
3,1,10,Stan Marsh,"Oh, sweet! Your mom's giving you a big party again this year?"
4,1,10,Eric Cartman,"Thaat's right. 'Cause it's my birthday, my bu bubu birthday..."
5,1,10,Kyle Broflovski,"Kick ass, dude! Cartman's mom throws the best birthday parties ever."
6,1,10,Eric Cartman,That's right.
7,1,10,Stan Marsh,"Yeah. If my mom could cook like Cartman's mom, I'd be a big fat-ass, too."
8,1,10,Eric Cartman,That's ri-aayy.
9,1,10,Pip Pirrip,"Oh, Eric. I didn't get an invitation."
10,1,10,Eric Cartman,"[darting over] Oh, really? Gosh. Where could I have put Pip's invitation?? Let's see, Pip's invitation, Pip's invitation... Oh! I remember!"
11,1,10,Eric Cartman,I shoved it up my ass!
12,1,10,Eric Cartman,"Yeess, that's right. I wrote it out, put it in an envelope, sealed it, and then shoved it right up my ass, forever ruining any chance you had of coming to my birthday party! Sorry, Pip ol' chap!"
13,1,10,Eric Cartman,"Here's yours, Wendy... and here's yours, Clyde..."
14,1,10,Mr Garrison,"[excitedly] Children, children! Today is a very special day."
15,1,10,Eric Cartman,"No, my birthday isn't until Saturday."
16,1,10,Mr Garrison,"I'm not talking about your birthday, Eric. We have a new student joining our class today."
17,1,10,Eric Cartman,Eeeeeeh!
18,1,10,Mr Garrison,"Now, some of you know what it's like to be the new kid in town, so I want you all to take special care to make him feel welcome. I want you all to meet our new classmate... [leans down to the new kid, Damien] uh-uh, what's your name again?"
19,1,10,Damien Thorn,Damien!
20,1,10,Ominous Voice,Rectus...dominus...
21,1,10,Mr Garrison,"Say 'hi' to Damien! [Silence.] And where are you from, Damien?"
22,1,10,Damien Thorn,The seventh layer of hell!
23,1,10,Mr Garrison,"Ooooh, that's exciting, my mother was from Alabama."
24,1,10,Damien Thorn,"My arrival shall note the end of the Beginning, the beginning of the End, the new reign of my father!"
25,1,10,Ominous Voice,... rectus... cheesy poofs...
26,1,10,Mr Garrison,Your father?
27,1,10,Damien Thorn,The Prince of Darkness!
28,1,10,Mr Garrison,"Wow, we have royalty in our class. Why don't you take your seat, Damien? We're gonna finish our lesson on great singers of the Baroque era."
29,1,10,Mr Garrison,"Now, children, Nancy Sinatra was quite a choice piece of ass..."
30,1,10,Eric Cartman,"Hey, new kid. Do you want an invitation to my birthday party?"
31,1,10,Damien Thorn,Here begins the rule of pain! The new domination of...
32,1,10,Eric Cartman,"Psych! I wasn't gonna give you an invitation, hehehehehehe! Hey, who cut your hair? Stevie Wonder?"
33,1,10,Ominous Voice,Rectus... dominus...
34,1,10,Eric Cartman,Byah. Oof!
35,1,10,Stan Marsh,"Whoa, dude!"
36,1,10,Ominous Voice,Sancti...
37,1,10,Kyle Broflovski,"Damn, what a freak!"
38,1,10,Eric Cartman,[Getting up off the floor.] Hey! I had a poofy pie in that desk!
39,1,10,Ominous Voice,Cheesy poofs...
40,1,10,Damien Thorn,Now feel the wrath - of the fallen angels! The plague of night is upon ye.
41,1,10,Mr Garrison,"Damien, do you need to sit in time out for a few minutes?"
42,1,10,Eric Cartman,"Eheh. [Taunting.] You got in trouble, you got in trouble."
43,1,10,Stan Marsh,"Hey, Cartman? How come the birthday invitation you gave me says 'Green Mega Man'?"
44,1,10,Kyle Broflovski,Yeah. Mine says 'Red Mega Man'.
45,1,10,Eric Cartman,Right. That's what your supposed to get for my birthday.
46,1,10,Stan Marsh,Dude. You're not supposed to tell people what to get you for your birthday.
47,1,10,Kyle Broflovski,"Yeah, that's weak!"
48,1,10,Eric Cartman,"Look, it's very simple guys. Green Mega Man goes with Red Mega Man and Yellow Mega Man to make the Ultra Mega Mega Man. You have to have all three or it doesn't work, see?"
49,1,10,Stan Marsh,Up yours. Cartman. I'll get you whatever the hell I want.
50,1,10,Eric Cartman,"Oooh. So maybe you don't want to have any of my mom's cake, pie, and ice cream, then."
51,1,10,Stan Marsh,"Oh great, Green Mega Man it is."
52,1,10,Eric Cartman,"Now. As you can see, Kenny, you are to get me Yellow Mega Man. That's because Yellow Mega Man is the cheapest one, and I know how poor your family is."
53,1,10,Stan Marsh,"Heeyy, what do you think you're doing, new kid?"
54,1,10,Eric Cartman,"Yeah. You can't sit with us, weirdo!"
55,1,10,Damien Thorn,Infidels! I will turn you all into beasts of burden!
56,1,10,Kyle Broflovski,"You can't sit with us, new kid. Go find another table!"
57,1,10,Eric Cartman,"Yich. Anyway Kenny, Yellow Man is only $8.95, so maybe your mom can put it on layaway and make payments for a year or two."
58,1,10,Eric Cartman,Eeyy!
59,1,10,Pip Pirrip,"Oh. Good day, Damien. My name is Philip, but everyone calls me Pip - because they hate me."
60,1,10,Damien Thorn,Then I will call you Pip.
61,1,10,Pip Pirrip,Right-o.
62,1,10,Stan Marsh,Hey new kid!
63,1,10,Stan Marsh,"Kenny says he saw... your mother drop you off this morning, and she's a real dog."
64,1,10,Kenny McCormick,"(Yeah, I feel that she's a freakin' bitch!)"
65,1,10,Damien Thorn,That does it! Woo-paah.
66,1,10,Ominous Voice,... rectus... dominus...
67,1,10,Stan Marsh,What the... ?
68,1,10,Kyle Broflovski,Dude! He turned Kenny into a duck-billed platypus.
69,1,10,Stan Marsh,A what?
70,1,10,Kenny McCormick,Quack-quack.
71,1,10,Eric Cartman,"Eeyy! Uh-turn him back you butt-hole, he has to buy me the Yellow Mega Man!"
72,1,10,Chef,"Hello there, children."
73,1,10,Stan Marsh,"Hey, Chef."
74,1,10,Chef,How's it going?
75,1,10,Kyle Broflovski,Bad.
76,1,10,Chef,Why bad?
77,1,10,Kyle Broflovski,"Chef, there's a new kid in school, and he's a total weirdo freak."
78,1,10,Chef,"Oh children, children, you shouldn't not like somebody just because they're different. Here, let me sing you a little song, 
We're all special in our own way
everybody's different, but that's okay,
'cause even though we might-a have different-colored skin,
different points of view, be tall or thin,
it doesn't mean I can't lay you down, woman, and touch your silky skin,"
79,1,10,Chef,"With my love deep inside you, where no man has ever been,"
80,1,10,Chef,"Rub you legs, caress your thighs and uh..."
81,1,10,Chef,What were we talking about again?
82,1,10,Kyle Broflovski,The new kid.
83,1,10,Damien Thorn,Death to the holy! The wrath of the fallen angels now heads for you all!
84,1,10,Ominous Voice,Rectus... dominus... cheesy poofs...
85,1,10,Stan Marsh,Whoa!
86,1,10,Chef,Oh! That is one fudged-up little cracker!
87,1,10,Kyle Broflovski,"We told you, dude."
88,1,10,Chef,"We've got to do something, children!"
89,1,10,Damien Thorn,Bring me Jesus! My wrath shall continue until I speak to Jesus!
90,1,10,Ominous Voice,... rectus... dominus... cheesy poofs... rectus... dominus...
91,1,10,Stan Marsh,Jesus?
92,1,10,Kyle Broflovski,Jesus?
93,1,10,Roland,"Two minutes to air, Jesus."
94,1,10,Jesus Christ,"Thanks, Roland. Blessed art thou. [Stan and Kyle dash in.]"
95,1,10,Stan Marsh,"Jesus, Jesus!"
96,1,10,Jesus Christ,"Ah-hi kids, I only do autographs after the show."
97,1,10,Stan Marsh,"No no. There's a big problem at school. Some new kid showed up, wearing all black, and and Chef thinks he's evil."
98,1,10,Kyle Broflovski,"Yeah. Look what he did to our friend, Kenny."
99,1,10,Kenny McCormick,Quack-quack.
100,1,10,Jesus Christ,Wow. That's pretty heavy.
101,1,10,Stan Marsh,"This new kid, he just keeps throwing things around and... saying stuff aboout his dark prince father coming. He says he wants to talk to you."
102,1,10,Jesus Christ,The Dark Prince?
103,1,10,Stan Marsh,Yeah.
104,1,10,Kyle Broflovski,Yeah.
105,1,10,Jesus Christ,"So it was written, and so the cycle of years brings the Son of the Evil One."
106,1,10,Stan Marsh,[To Kyle.] Whoa. Huduh now he's talking like the new kid.
107,1,10,Jesus Christ,"Thou must taketh me to this seedling of Satan, so mine eyes can confirm the wretched truth."
108,1,10,Kyle Broflovski,... K.
109,1,10,Groundskeeper,"Five minutes until recess is over, you little bastards!"
110,1,10,Eric Cartman,"Now, as you can see, the Red Mega Man uses thee... Mega Cycle, which is what Clyde will be getting me for my birthday. Wendy, you were supposed to get me the Mega Power Chopper, illustrated... here, but, I'm changing your present to the Yellow Mega Man, since Kenny has been turned into a... duck-billed platypus. That means that the Mega Man beach house, illustrated... heuh, will be a gift given by two people at once, 'cause it costs more money..."
111,1,10,Ominous Voice,Rectus... dominus... sancti...
112,1,10,Red,Aaaaa Bebe!
113,1,10,Bebe Stevens,Our slide!
114,1,10,Damien Thorn,Feel my wrath!
115,1,10,Pip Pirrip,"[As Damien torches the hobby elephants.] Oho Damien, you shouldn't be so upset, you know. I know it's hard being the new kid, but the children may accept you someday."
116,1,10,Damien Thorn,I don't need acceptance. I'm the Son of Satan!
117,1,10,Pip Pirrip,Believe me! I know what it's like not to have friends. Perhaps you should speak to the school counselor. He helps me a lot when I'm feeling lonely.
118,1,10,Ominous Voice,... Rectus... cheesy poofs...
119,1,10,Jesus Christ,Damien!
120,1,10,Damien Thorn,Aaah! Son of Stench! Cursed Ruler of the weak!
121,1,10,Jesus Christ,"So it is thou, Son of Lucifer!"
122,1,10,Damien Thorn,"Your time on this earth is short. Soon, my father comes."
123,1,10,Jesus Christ,Let him come then. I shall stop him!
124,1,10,Damien Thorn,Behold! He is already upon us! [Clouds begin to conceal the sun.
125,1,10,Kyle Broflovski,"Ohh, dude!"
126,1,10,Satan,Hic dominus ampullicus unum sum. Forante onlisam dum sameli etludemus.
127,1,10,Jimbo Kern,What the hell's going on here?
128,1,10,Father Maxi,Look! It's that guy from the public access show!
129,1,10,Blonde,What's happening?
130,1,10,Chef,"Come over here if you're scared, women! I'll protect you!"
131,1,10,Chef,"Not you, dammit!"
132,1,10,Satan,Forante onlisam dum sameli etludemus.
133,1,10,Damien Thorn,"Jesus, my father says... he chooses you! He calls you out! Be here at this time tomorrow! Then the terms will be discussed!"
134,1,10,Jesus Christ,Very well. Let the final battle between Good and Evil be fought - right here in South Park!
135,1,10,Jimbo Kern,"Come on, Ned! We've got to get our asses to the bookie!"
136,1,10,Stan Marsh,You're gonna fight Satan?
137,1,10,Jesus Christ,"This fight has been ordained since the beginning! My children, this is the most crucial and serious time... of all history."
138,1,10,Commercial,Who will win our souls?
139,1,10,Commercial,Our Savior and Lord?
140,1,10,Commercial,Or the Prince of Darkness?
141,1,10,Commercial,It's the final battle between Good and Evil.
142,1,10,Commercial,"And it's only on Pay Per View! Jesus Versus Satan! Live, from the South Park Forum on Saturday. Call now to order, only $49.95."
143,1,10,Eric Cartman,"Hey, wait a minute. Saturday is my birthday party. They can't have the fight on Saturday!"
144,1,10,Kenny McCormick,Quack-quack.
145,1,10,Stan Marsh,"[To Kyle.] I don't know what to do, dude. Do we go to the fight, or Cartman's birthday?"
146,1,10,Eric Cartman,Cartman's birthday!
147,1,10,Kyle Broflovski,We can't miss the final apocalyptic battle between Good and Evil!
148,1,10,Eric Cartman,"You guys, my mom is getting a Ferris wheel."
149,1,10,Stan Marsh,"Well, come on. We have to at least see the weigh-in."
150,1,10,Eric Cartman,"Who the hell decided the fight had to be on Saturday, huh?! This whole thing is a plot against me, isn't it?!"
151,1,10,Father Maxi,When is Satan gonna show up?
152,1,10,Stan Marsh,Did the Devil show up yet?
153,1,10,Jesus Christ,Not yet.
154,1,10,Kyle Broflovski,"Hey, Jesus! Ih-if you win the fight, can you turn Kenny back to normal?"
155,1,10,Jesus Christ,... What the hell do you mean if I win the fight?
156,1,10,Eric Cartman,"Don't mind him, Jesus, he's Jewish."
157,1,10,Jesus Christ,Oh.
