,season,episode,character,line
0,1,5,Eric Cartman,"Hey Stan, where'd you get that black eye?"
1,1,5,Stan Marsh,"Nothing, I mu-I mean, nowhere."
2,1,5,Eric Cartman,"Your sister beat you up again, huh?"
3,1,5,Stan Marsh,No!
4,1,5,Eric Cartman,"Eheh, you know, heh, your sister kicked your ass."
5,1,5,Stan Marsh,She's just pissed off 'cause she got headgear at the dentist. She's taking it out on me.
6,1,5,Kyle Broflovski,"Yeah, but that sucks, to get your butt kicked by a girl, Stan."
7,1,5,Eric Cartman,"I would never let a woman kick my ass. If she tried anything, I'd be like, ""hey, you get your bitch ass back in the kitchen, and make me some pie!"""
8,1,5,Stan Marsh,"My parents don't even believe that she beats me up. They think she's all innocent and sweet, but I know that she's an evil bitch!"
9,1,5,Eric Cartman,"Be a man Stan. Just say, ""Hey woman, ye-you shut your mouth and make babies."""
10,1,5,Stan Marsh,"Hey Kyle, what's that elephant doing?"
11,1,5,Kyle Broflovski,You mean this one?
12,1,5,Stan Marsh,Yeah.
13,1,5,Kyle Broflovski,He's my new pet elephant.
14,1,5,Stan Marsh,Whoa dude! Where'd you get a pet elephant?
15,1,5,Kyle Broflovski,"I got it mail ordered from Africa. The ad said it would take 4 to 6 weeks, but it only took three."
16,1,5,Stan Marsh,"Wow, that's cool!"
17,1,5,Kyle Broflovski,"No it's not cool! My mom won't let me keep him in the house. She says he's too big, and that his poop is bigger than our couch."
18,1,5,Eric Cartman,That's why my mom got me a pot-bellied pig. Cause its poop is small.
19,1,5,Kenny McCormick,"(Hey you guys, I talked to Garrison and he told me that they're almost the same.)"
20,1,5,Stan Marsh,"Well yeah, but pigs aren't smart, like elephants."
21,1,5,Ms Crabtree,Hey. Wait a minute. What is that thing?
22,1,5,Kyle Broflovski,"Uh, oh, this, this is, the new retarded kid."
23,1,5,Ms Crabtree,Oh—I'm sorry little girl. But you still can't get on. You have to take the special ed bus.
24,1,5,Kyle Broflovski,"Boy, it looks like you're not welcome anywhere elephant. See ya."
