,season,episode,character,line
0,13,12,Eric Cartman,"Isn't this great, you guys? Gettin' away from it all, leaving all our cares behind?"
1,13,12,Stan Marsh,"Yeah, and they said the weather's gonna be nice like this all day."
2,13,12,Kyle Broflovski,This... is exactly what I needed.
3,13,12,Kenny McCormick,"(Meee toooo.) [a second later and the roar of motorcycles is heard, making the boys jump up startled. They look around]"
4,13,12,Stan Marsh,Aww! Not those guys again! [the boys leave the pond and head over to the source of the noise - a group of bikers idling at at intersection for no other reason than to revel in the sound of their own bikes' motors]
5,13,12,Eric Cartman,"God damn it, why is it every time we try to have a relaxing day a bunch of asshole on their Harley motorcycles show up?! [the bikers just cheer each other on, but the motors drown them out]"
6,13,12,Stan Marsh,God! Shut up!
7,13,12,Eric Cartman,"Piss off, you stupid assholes! [the bikers ride off]"
8,13,12,Randy Marsh,Isn't this great food?
9,13,12,Gerald Broflovski,You're so right about this place. It's wonderful.
10,13,12,Randy Marsh,"You know what's really interesting is that- [the bikers roar in and stop at a crosswalk at one end of the restaurant, which is called Café Monet, and rev their motors. After a few seconds they ride away] ...what's really interesting is that this place has a new owner, and that-"
11,13,12,Father Maxi,On this gorgeous day we bring these two together for the most important ta- [the bikers roar in and slow down. The guests and the bride glare at the bikers as they roll slowly by]
12,13,12,Lead Biker,Everybody's checking us out.
13,13,12,Biker 2,"Yeah, they think we're pretty cool."
14,13,12,Lead Biker,Hooo! We were definitely turnin' some heads out there.
15,13,12,Biker 3,Yeah!
16,13,12,Biker 2,"I was pullin' back on that throttle, and everybody was like, ""What is that?"""
17,13,12,Biker 4,Fer sure!
18,13,12,Biker 3,Yeah.
19,13,12,Biker 5,"Hey- hey, nobody here is really paying attention to us."
20,13,12,Lead Biker,"That's weird. [clears his throat and starts imitating a motorcycle engine. The other bikers follow suit, and a few of the patrons look at them] Oh yeah, that's better."
21,13,12,Lead Biker,All right let's head out. [the others agree and begin to rev their voices as they board their bikes.]
22,13,12,Eric Cartman,"[walking into view] Excuse me. Excuse me! Hey assholes! [the bikers quiet down, turn off their motors, and look at him] You guys know that everyone thinks you're total fags, right."
23,13,12,Lead Biker,...What did you say?
24,13,12,Eric Cartman,"You know, when people like you drive down the street with your unnecessarily loud motorcycles thinking you're all cool. Everyone is actually laughing at you and calling you pathetic faggots. You do realize this, right?"
25,13,12,Biker 6,"...Hey man, we roll how we roll, and if people are annoyed or intimidated by it, that's too bad for them!"
26,13,12,Biker 2,Yeah! [the bikers rev their voices again]
27,13,12,Eric Cartman,"No no, no, nobody is intimidated, actually. Everyone realizes that people who are so needy for attention they need to dress up and be as loud as possible are you guys and sixteen-year-old girls! Just wanted to let you know, you're fuckin' fags. [proceeds to walk past the line of bikes]"
28,13,12,Biker 7,Thah- that little boy just called us fags.
29,13,12,Biker 2,Like he didn't think we were cool.
30,13,12,Biker 6,"But he's wrong. People don't think we're fags, do they?"
31,13,12,Lead Biker,"'Course he's wrong! And anyway, nobody except that little freak would ever say something like it to our faces!"
32,13,12,Other Bikers,Yeah! Let's ride! [they rev up their voices and their motors] Let's go! Rev 'em up! [they ride off]
33,13,12,Ike Broflovski,Fags! [then closes his window]
34,13,12,Biker 2,Did that kid just call us-?
35,13,12,Lead Biker,"Ju-just ignore him! [as they ride, a car pulls up in front of them. Two kids in the back seat turn and make gestures to them. One of the boys makes a sign, then turns it around. Both kids hold it up. It says ""FAGS."" One of them mouths the word and the boys laugh.] God damn it, this is fucked up!"
36,13,12,Biker 8,What's wrong with kids today? [revs his voice a little]
37,13,12,Biker 4,It doesn't make any sense. They all called us fags.
38,13,12,Biker 6,"How can they call us fags? I mean, listen to this? [revs his motor up]"
39,13,12,Lead Biker,"I know, I know! Look, guys, I think I know what the problem is here."
40,13,12,Biker 3,Really? You do?
41,13,12,Biker 9,Whatwhat?
42,13,12,Lead Biker,"Yeah, think about it, guys. You see all the things kids have today? I mean, with their Xboxes and surround-sound entertainment systems, kids today are surrounded by big loud stuff all the time!"
43,13,12,Biker 1,"Hey, that's right."
44,13,12,Lead Biker,"That's all it is, guys. We just need to get a little louder, that's all. [revs up his voice and his bike, and the others follow suit.]"
45,13,12,Kyle Broflovski,Broflovski looks for Kenny to get clear for the pass.
46,13,12,Eric Cartman,But Cartman isn't letting up on him. [the bikers roll by and the boys stop playing]
47,13,12,Kyle Broflovski,"Oh, what the hell?! [the bikers roll by with a variety of musical instruments, a siren, and a rooster attached to their bikes, all of them making noise.]"
48,13,12,Biker 6,Chicken spears! Chicken spears! Chicken spears! ...Chicken spears! Chicken spears!
49,13,12,Stan Marsh,God damn it God damn it!
50,13,12,Lead Biker,"Oh yeah, now we're turnin' some heads! [blows into one of the two horns on his handlebars]"
51,13,12,Biker 2,Let's see 'em call us fags now!
52,13,12,Stan Marsh,"All right, thanks for coming, everyone. As you all know, the Harley problem seems to be getting worse, and nobody is willing to do anything about it."
53,13,12,Kyle Broflovski,Yes.
54,13,12,Eric Cartman,Agreed.
55,13,12,Jimmy Valmer,"I have had it with those loud, annoying, f-f-f f-faggots."
56,13,12,Stan Marsh,"Now, we have some ideas, and we'd love to hear your ideas, and I think together we can- [the bikers roll by on Stan's street, then Stan sighs when they're gone] ...and I think that together we can come up with a way to get rid of these fags once and for all."
57,13,12,Kyle Broflovski,Sounds good.
58,13,12,Token Black,"Okay good, yeah."
59,13,12,Eric Cartman,"Ni-nice, okay."
60,13,12,Butters Stotch,What are you guys talkin' about? Harleys are neato!
61,13,12,Eric Cartman,What?
62,13,12,Butters Stotch,"I always thought, someday when I grow up I'm gonna get a Harley. Then people will have to notice me, and they'll have to deal with my shit for once. The open road! The wind on my face! I'll go from city to city! Rowrrowrroowwrr! Everyone lookin' at me! ""Who's that guy? He must be a Hoo- he must be tough!"" Vromvrom, vromvrom, vrooom! I'll have my girl on the back seat holdin' on to my fat belly - sure she's missin' a few teeth, but she thinks I'm coool. That's why, when I grow up, I'm gonna be a Harley rider!"
63,13,12,Stan Marsh,"...That makes perfect sense, Butters."
64,13,12,Butters Stotch,It does?
65,13,12,Stan Marsh,"Yes, now get out of here."
66,13,12,Butters Stotch,Okay. [walks out]
67,13,12,Stan Marsh,"Alright, Kyle and I are gonna spray paint messages to the Harley riders; Cartman, you said you had an idea?"
68,13,12,Eric Cartman,"I think what I'm gonna do is uh, find out wherever their bikes are and uh, crap on their seats."
69,13,12,Stan Marsh,[taking notes] Oh that's good.
70,13,12,Eric Cartman,"[taking notes] Yeah, I think that'll be nice."
71,13,12,Stan Marsh,But that's a lot of seats? How are you going to pull that off?
72,13,12,Eric Cartman,"I think I just need uh two, maybe three buckets of KFC, extra crispy, probably ...four cartons of gravy."
73,13,12,Stan Marsh,"Clyde, can you take care of getting KFC for Cartman? Kyle and I will get the spray paint cans. If we do this right, we'll be doing the town a huge favor, so let's get to it!"
