,season,episode,character,line
0,8,6,Stan Marsh,"[stops and looks at a house] Hey, check it out, dude. Somebody bought the Donovan's old house. [the other boys stop and look.]"
1,8,6,Kyle Broflovski,"Yeah, I think they already moved in. I saw moving vans in their driveway two days ago."
2,8,6,Eric Cartman,I hope they're not Austrians. That's the last thing this town needs. [a door is heard opening]
3,8,6,Kyle Broflovski,[points] Hey Look!
4,8,6,Blanket Jackson,Hello!
5,8,6,Kyle Broflovski,Hey. Do you live here?
6,8,6,Blanket Jackson,"Yeah, I just moved here with my dad. Are you gonna be my new friends?"
7,8,6,Eric Cartman,No.
8,8,6,Blanket Jackson,"I really like your town. My dad wanted to move somewhere to get away from it all. He said he wanted peace and quiet, and to live with a bunch of hicks who don't know anything."
9,8,6,Stan Marsh,What's that you're wearing?
10,8,6,Blanket Jackson,It's my mask. My daddy says it's best for me to hide my face. My name's Blanket.
11,8,6,Eric Cartman,"Your name is Blanket... Right. Well Blanket, I'm Howdy Doody, and these are my friends, Timsy, Winky, and Nod. Unfortunately, we have to be off to the Land of Booger Trees, so we'll be leaving now."
12,8,6,Blanket Jackson,Wait! Don't you guys wanna come inside and play?
13,8,6,Eric Cartman,"Huh? Look dude, we're in the fourth grade, okay? You know what that means? It means we don't hang out with a little kid. Come on guys, let's get back to our Big Wheels. [they turn away.]"
14,8,6,Blanket Jackson,We have arcade games inside.
15,8,6,Blanket Jackson,Dad?
16,8,6,Stan Marsh,"Whoa. Dude, no way!"
17,8,6,Eric Cartman,"Oh my God, this is awesome! [runs up to a claw machine]"
18,8,6,Stan Marsh,"Dude, are these all your toys?"
19,8,6,Blanket Jackson,"No, this is all my dad's stuff. He loves toys and video games."
20,8,6,Kyle Broflovski,"Dude, he just be loaded! What does he do?"
21,8,6,Blanket Jackson,He's retired now.
22,8,6,Eric Cartman,"[guiding the machine's arm to grab a plush toy] Oh my God, dude! Your dad must be the coolest guy in the world!"
23,8,6,Blanket Jackson,"Come on, my dad's probably out in the backyard. [guides the other three boys out]"
24,8,6,Eric Cartman,"Oh, kick ass! Dude, why isn't my house like this?!"
25,8,6,Blanket Jackson,Dad? You out here?
26,8,6,Michael Jackson,"Here I am, Blanket!"
27,8,6,Michael Jackson,Heeee!
28,8,6,Michael Jackson,Jeh chabee durtah!
29,8,6,Michael Jackson,Blanket! Oh my beautiful blanket!
30,8,6,Kyle Broflovski,[softly] What's wrong with his face?
31,8,6,Stan Marsh,"[softly] Be cool, dude. I, I think maybe he's a burn victim or something."
32,8,6,Blanket Jackson,"Guys, this is my dad. Michael Ja-"
33,8,6,Michael Jackson,"Jefferson! Michael ...Jefferson, yeh. Hey, you wanna play with me?"
34,8,6,Michael Jackson,"Come on, let's climb the tree! [turns to a tree and scales it] Come on, climb the tree, climb the tree!"
35,8,6,Michael Jackson,"Have you been up my... Wishing Tree? Tuh!
It's where I come to think and dream.
And now I'd like to show you my... Wishing Tree. 
Jam on!
Where we can laugh and giggle and scream. 
Hee hee!
Imagination is the key."
36,8,6,Kyle Broflovski,"Mr. Jefferson, your son can't get up."
37,8,6,Michael Jackson,Won't you imagine along with me?
38,8,6,Kyle Broflovski,Mr. Jefferson?
39,8,6,Michael Jackson,"We can be spacemen, 
or pirates on the sea
Chuckajamonah!
Yes we can do everything,
and I mean, everything!
Chuckajamonah!
Up in my Wishing Tree!
Hee hee! Ooooooooooooooooooooooooooooh!"
40,8,6,Stan Marsh,"Hey, you guys! You guys! [the kids gather around] You gotta come with us over to the Jeffersons!"
41,8,6,Red,The Jeffersons?
42,8,6,Eric Cartman,[breathless] They're a new family that just moved to South Park! We met this kid named Blanket and he has the coolest dad in the world! [his chest heaves noticeably]
43,8,6,Kyle Broflovski,Mr. Jefferson said we can invite all the kids in town to go play over at their house.
44,8,6,Eric Cartman,"They have like, video games and rides and a cotton-candy machine, oh, and, and in their back yard, guess what they have in their back yard?! Guess. A train."
45,8,6,Craig Tucker,[in a monotone voice] No way.
46,8,6,Eric Cartman,"Yeah way, Craig! And if you don't believe in Mr. Jefferson, then you can just not come!"
47,8,6,Craig Tucker,[not wanting to be left out] I believe in Mr. Jefferson!
48,8,6,Michael Jackson,"Weeeeeeeeeeeeeeee, look at us on the swing! We're swinging!"
49,8,6,Blanket Jackson,Who wants the first cotton candy?
50,8,6,Kids,Memememememememememe
51,8,6,Michael Jackson,Mememe! I'm first! I'm first!
52,8,6,Michael Jackson,"Oooo, let's go ride the choo-choo train!"
53,8,6,Eric Cartman,Choo-choo train! Yay!
54,8,6,Michael Jackson,Let's ride the train! The train!
55,8,6,Michael Jackson,"Would you like to ride the train with me,
and start a magical journey?"
56,8,6,Eric Cartman,"Yes I would, Mr. Jefferson. You're so awesome, Mr. Jefferson."
57,8,6,Michael Jackson,"Cartman, you have a beautiful voice."
58,8,6,Eric Cartman,Thank you Mr. Jefferson. So do you.
59,8,6,Michael Jackson,Let's ride and ride on the train together
60,8,6,Eric Cartman,...Train together
61,8,6,Michael Jackson,On a journey through both of our minds.
62,8,6,Eric Cartman,I've got time. Do youuu??
63,8,6,Kyle Broflovski,"Dude, what happened to your knee?"
64,8,6,Blanket Jackson,[his skinned knee is shown] I fell down.
65,8,6,Kyle Broflovski,[calls out] Mr. Jefferson!
66,8,6,Michael Jackson,"[back on the train] Choo-choo train, it's all fun and games."
67,8,6,Eric Cartman,Choo-choo train.
68,8,6,Kyle Broflovski,"Mr- ! Goddammit. Here, come on. We need to clean that up. [takes Blanket inside]"
69,8,6,Kyle Broflovski,"Alright, this is gonna sting for a second."
70,8,6,Blanket Jackson,Ow!
71,8,6,Kyle Broflovski,"I know, I know. Be cool."
72,8,6,Blanket Jackson,Thank you. That already feels better.
73,8,6,Kyle Broflovski,"So, dude, do you have any brothers or sisters?"
74,8,6,Blanket Jackson,I have a half-brother and a half-sister. But they live with their mom now.
75,8,6,Kyle Broflovski,And where is your mom?
76,8,6,Blanket Jackson,I don't have a mom.
77,8,6,Kyle Broflovski,You must have a mom.
78,8,6,Kyle Broflovski,"You mean she doesn't live here, or she's dead, or what?"
79,8,6,Blanket Jackson,No. I was made in a laboratory.
80,8,6,Kyle Broflovski,What?
81,8,6,Blanket Jackson,"My daddy wanted to have a baby, so he put me in a test tube. Then, they put me in a woman's tummy, and, when I was born, Daddy took me home."
82,8,6,Kyle Broflovski,So you never met your mom?
83,8,6,Blanket Jackson,"No... But I used to have a lot of bodyguards and nannies, if that counts."
84,8,6,Kyle Broflovski,"Yeah. Yeah, that counts."
85,8,6,Eric Cartman,"Oh man, that was great! You guys know what Mr. Jefferson said? He said I'm his best friend, and I can go over to his house whenever I want! I'm supposed to go right back over there after dinner tonight!"
86,8,6,Kyle Broflovski,"You guys, I feel kinda bad for that kid."
87,8,6,Eric Cartman,You feel bad for him?! He has everything a kid could want!
88,8,6,Kyle Broflovski,"Mr. Jefferson just seems like he wants to be a kid, not have one."
89,8,6,Eric Cartman,"Oh, you know what?! This makes perfect sense! A guy moves into South Park with a FERRIS wheel in his back yard, and KYLE has to see a problem with it! [faces Kyle down] Mr. Jefferson is the best thing that's happened to this town in a long time, and if you miss this up, so help me god, I will rip your balls off with my bare hands! With my bare hands, Goddamn you! [turns and walks away angrily]"
90,8,6,Randy Marsh,"Well, there he is. Where have you been all afternoon."
91,8,6,Stan Marsh,"I was over at the new neighbors, the Jeffersons."
92,8,6,Sharon Marsh,"Oh, are they nice people?"
93,8,6,Stan Marsh,Yeah. It's just a dad and his son.
94,8,6,Sharon Marsh,"Well, we're supposed to have the Broflovskis and the Stotches over for dinner tonight. Maybe I'll invite Mr. Jefferson too."
95,8,6,Gerald Broflovski,"So, Mr. Jefferson, did I hear you say you moved here from Kentucky?"
96,8,6,Michael Jackson,"Kentucky, yeah."
97,8,6,Randy Marsh,I heard people saying you all were from Illinois.
98,8,6,Michael Jackson,"No, the- they're ignorant. That's ignorant."
99,8,6,Stephen Stotch,"What kind of work do you do, Mr. Jefferson?"
100,8,6,Michael Jackson,"Oh I'm retired now, but, I was in... pharmaceuticals"
101,8,6,Sheila Broflovski,Well our boys have really taken a liking to you. You seem to really have a way with them.
102,8,6,Michael Jackson,"I just id- identify so much with children. Their innocence, their beauty. I think that God is in the face of every child."
103,8,6,Randy Marsh,....Yeeeah.
104,8,6,Sharon Marsh,"...They are fun. [glances back, away from the table] Boys, you okay out there?"
105,8,6,Stan Marsh,"Fine, Mom."
106,8,6,Blanket Jackson,"Wow, these are great. What are they called again?"
107,8,6,Kyle Broflovski,They're TV dinners. Don't you wanna take that veil off so you can eat?
108,8,6,Blanket Jackson,"Nah, I'm not supposed to. Dad says I have to keep my face hidden."
109,8,6,Eric Cartman,What the hell is going on?! Are you having Mr. Jefferson over for dinner?!
110,8,6,Stan Marsh,"No, my parents are."
111,8,6,Eric Cartman,You guys better not be trying to Bogart my friend away!
112,8,6,Stan Marsh,What?
113,8,6,Eric Cartman,"He is my friend, got it?! I was friends with him before you assholes were, [Stan steps back...] and I-"
114,8,6,Eric Cartman,"Stan! Stan, I'm seriously! You'd better not be talking bad about me in there to Mr. Jefferson!"
115,8,6,Gerald Broflovski,"Hey, you know Kobe Bryant was up in Eagle today."
116,8,6,Randy Marsh,"Oh yeah? What do you think, Mr. Jefferson? Do you think Kobe's guilty or innocent?"
117,8,6,Michael Jackson,[taken aback] D'huh?
118,8,6,Stephen Stotch,I think he's definitely going to jail. I just love seeing smug celebrities get their comeuppance.
119,8,6,Michael Jackson,I think it's wrong what the police do to wealthy black men.
120,8,6,Gerald Broflovski,"Oh come on, Mr. Jefferson, you're not one of those who think that the police go around framing rich black people just because they're jealous?"
121,8,6,Michael Jackson,Yeah! Because their hearts are full of greed and they have... doo-doo in their souls.
